customer_id,age,gender,country,preferred_channel,loyalty_tier,registration_date,last_purchase_days_ago,total_purchases,avg_order_value,email_open_rate,app_sessions_30d,returns_rate,support_tickets_12m,nps_score,omnichannel_flag,preferred_brand,preferred_category,total_revenue,churned,txn_count,txn_total_spend,txn_avg_ticket,txn_channels_used,txn_brands_count,txn_return_count,txn_categories,txn_discount_avg,gender_enc,loyalty_tier_enc,preferred_channel_enc,country_enc,preferred_brand_enc,preferred_category_enc,recency_score,frequency_score,monetary_score,revenue_per_purchase,engagement_index,risk_index,channel_diversity,discount_sensitivity,brand_loyalty_index,age_group_enc,nps_category
CUST_00000,56,M,France,email_campaign,Silver,2025-08-22,303,14,26.56,0.045,44,0.482,5,0.0,0,Uniqlo,Dresses,371.84,1,7.0,3397.94,485.42,4.0,4.0,1.0,6.0,0.23285714285714287,1,3,1,1,8,3,0.003289473684210526,2.70805020110221,5.921149373192956,24.78933333333333,0.30683333333333335,6,4.0,0.23285714285714287,0.2,2.0,Detractor
CUST_00001,46,M,Portugal,instagram_shop,Silver,2026-02-15,35,22,60.17,0.043,3,0.179,3,8.0,0,Uniqlo,Bags,1323.74,0,9.0,2425.57,269.5077777777778,3.0,7.0,1.0,6.0,0.1788888888888889,1,3,2,6,8,1,0.027777777777777776,3.1354942159291497,7.188971492750307,57.55391304347826,0.0329,2,3.0,0.1788888888888889,0.125,2.0,Neutral
CUST_00002,32,NB,France,physical_store,Bronze,2024-09-21,205,48,200.73,0.132,52,0.1,7,9.0,0,H&M,Outerwear,9635.04,0,8.0,2601.9900000000002,325.24875000000003,5.0,5.0,2.0,6.0,0.20625,2,0,5,1,2,6,0.0048543689320388345,3.8918202981106265,9.173265514826188,196.63346938775513,0.3862666666666667,5,5.0,0.20625,0.16666666666666666,1.0,Promoter
CUST_00003,60,F,Italy,loyalty_program,Bronze,2024-11-22,266,51,60.68,0.127,36,0.134,1,3.0,1,Stradivarius,Jewelry,3094.68,0,3.0,1263.28,421.0933333333333,2.0,3.0,0.0,2.0,0.19666666666666666,0,0,3,3,7,5,0.003745318352059925,3.9512437185814275,8.037762870194564,59.51307692307692,0.5781000000000001,3,2.0,0.19666666666666666,0.25,3.0,Detractor
CUST_00004,25,M,France,physical_store,Bronze,2025-01-05,65,11,128.71,0.509,46,0.051,2,6.0,1,COS,Tops,1415.81,0,3.0,753.52,251.17333333333332,3.0,3.0,0.0,3.0,0.12333333333333334,1,0,5,1,1,8,0.015151515151515152,2.4849066497880004,7.256163144602947,117.98416666666667,0.7593666666666667,0,3.0,0.12333333333333334,0.25,0.0,Detractor
CUST_00005,38,F,Brazil,physical_store,Bronze,2025-06-26,98,59,50.55,0.116,6,0.237,1,1.0,1,Zara,Jewelry,2982.45,0,5.0,2061.78,412.35600000000005,3.0,3.0,0.0,4.0,0.21200000000000002,0,0,5,0,9,5,0.010101010101010102,4.0943445622221,8.000835627981417,49.707499999999996,0.3748,0,3.0,0.21200000000000002,0.25,1.0,Detractor
CUST_00006,56,M,Netherlands,email_campaign,Silver,2025-09-10,185,14,395.79,0.549,55,0.102,7,8.0,0,Reserved,Underwear,5541.06,0,3.0,2285.96,761.9866666666667,2.0,2.0,1.0,2.0,0.23666666666666666,1,3,1,4,6,9,0.005376344086021506,2.70805020110221,8.620121551780775,369.40400000000005,0.5313666666666668,5,2.0,0.23666666666666666,0.3333333333333333,2.0,Neutral
CUST_00007,36,F,UK,physical_store,Gold,2025-10-11,238,7,22.25,0.299,47,0.129,7,9.0,0,Bershka,Dresses,155.75,1,4.0,3262.09,815.5225,4.0,4.0,2.0,3.0,0.20500000000000002,0,1,5,8,0,3,0.0041841004184100415,2.0794415416798357,5.05465217951303,19.46875,0.40303333333333335,5,4.0,0.20500000000000002,0.2,1.0,Promoter
CUST_00008,40,M,Spain,ecommerce,Bronze,2023-11-25,266,69,11.08,0.395,16,0.149,6,9.0,1,Reserved,Bags,764.52,0,3.0,649.84,216.61333333333334,3.0,2.0,0.0,3.0,0.07333333333333333,1,0,0,7,6,1,0.003745318352059925,4.248495242049359,6.640555341471007,10.921714285714286,0.5251666666666667,5,3.0,0.07333333333333333,0.3333333333333333,1.0,Promoter
CUST_00009,28,F,Brazil,physical_store,Silver,2026-02-01,232,58,111.72,0.112,9,0.165,0,0.0,0,Uniqlo,Bottoms,6479.76,1,1.0,472.24,472.24,1.0,1.0,0.0,1.0,0.13,0,3,5,0,8,2,0.004291845493562232,4.07753744390572,8.776593066419712,109.8264406779661,0.09359999999999999,3,1.0,0.13,0.5,1.0,Detractor
